node_id,center_lat,center_lon,radius_meters,elephant_count,sighting_count,elephants,active_hours,avg_ndvi,avg_human_distance,protected,land_cover
114,8.076649380285714,81.19504026285713,310.44417580504023,1,7,['Soma'],"[0, 8, 20]",0.5967571428571427,1721.1077187142857,1,30.0
115,8.1850984954,81.197368796,246.6357883128553,1,5,['Soma'],"[16, 20, 12]",0.4866,2948.1629278,1,30.0
116,6.579961608171772,81.19025924680426,2748.8703614128945,1,1502,['Ekes'],"[12, 4, 20]",0.7367796271637816,5281.433066047936,0,10.0
117,6.6273392012,81.157833882,178.74749165313798,1,5,['Ekes'],[20],0.7293,2777.853156,0,10.0
118,6.598187897777779,81.2339157974074,646.2674359862126,1,27,['Ekes'],"[20, 4, 12]",0.6835444444444443,3767.6351527407405,0,30.0
119,6.504040815799999,81.20821649,333.88103220083786,1,5,['Ekes'],"[12, 20, 4]",0.8891,9603.6505116,1,30.0
120,6.54572084,81.20182783999999,124.20947588824465,1,6,['Ekes'],"[20, 4, 12]",0.6771666666666668,7591.2395865,0,40.0
121,6.530785038833334,81.19208339666666,322.30764260105605,1,6,['Ekes'],"[12, 4]",0.73455,6837.130484833334,0,10.0
122,7.6206920230103625,81.28404021212435,1297.7062078385347,1,193,['Nalagiri'],"[4, 12, 20]",0.8597735751295338,2130.3567472735754,1,10.0
123,7.6057688811111115,81.25812073111112,362.5225340186505,1,9,['Nalagiri'],"[4, 12, 20]",0.8209333333333334,1551.5182793333333,1,10.0
124,7.616466964222222,81.25793773666665,398.9958766616355,1,9,['Nalagiri'],"[12, 20]",0.8348,1044.3691050333334,1,30.0
125,7.608419831142858,81.22401343857143,282.76855227998254,1,7,['Nalagiri'],"[20, 4, 12]",0.41088571428571435,4797.5679712857145,1,30.0
126,7.613568397571428,81.25173755571427,263.1109831170582,1,7,['Nalagiri'],"[20, 12]",0.8235285714285715,1703.569147714286,1,30.0
127,7.601065844583334,81.30933475249999,419.9833414166581,1,12,['Nalagiri'],"[20, 12]",0.8445666666666667,5017.809447833333,1,30.0
128,7.5747214740625,81.33286181729166,711.5598858515763,1,48,['Nalagiri'],"[20, 4, 12]",0.7683541666666667,4834.5428081875,1,10.0
129,7.568913933172413,81.3162694037931,829.9718286855931,1,87,['Nalagiri'],"[12, 4, 20]",0.8501758620689653,5381.716466816092,1,30.0
130,6.515471777916667,81.3380451525,166.0975712708566,1,12,['Babar'],"[0, 12, 16]",0.8752000000000001,1539.9719241666664,1,10.0
131,7.59338680275,81.30946939625,301.64670000593594,1,8,['Nalagiri'],"[20, 12]",0.8283875,5381.926808875,1,30.0
132,6.429779012666666,81.5017056752381,361.5549886422668,1,21,['Babar'],"[4, 8, 12]",0.8606190476190478,7118.460571190477,1,10.0
133,7.953231979687501,80.664474911875,523.6930199266001,2,16,"['Hurululiya', 'Mihiri']","[20, 4, 8]",0.84731875,2807.4949260625,1,10.0
134,7.969680006444444,80.66508658444444,253.26952436223849,1,9,['Hurululiya'],"[4, 8, 12]",0.6943,2651.6349811111113,0,10.0
135,8.044392138666666,80.77426257444444,271.51597886846105,1,9,['Mihiri'],"[8, 16, 20]",0.6395333333333333,1381.8487253333335,1,10.0
136,8.028473308999999,80.73929910875,284.6499283670082,1,8,['Mihiri'],"[16, 20, 0]",0.789575,686.6099452875001,0,40.0
137,8.0417212958,80.722107386,511.3056492900956,1,15,['Mihiri'],"[12, 20, 0]",0.7864733333333334,1542.85469712,0,10.0
138,8.053676585363634,80.73863813272727,384.2795480792366,1,11,['Mihiri'],"[8, 4, 16]",0.8824545454545455,805.2206868363636,0,10.0
139,8.0567984654,80.725144128,326.4370253481403,1,5,['Mihiri'],"[16, 20, 0]",0.80122,1213.69301816,0,10.0
140,8.044447610399999,80.666237165,417.1482044934727,1,10,['Mihiri'],"[0, 4, 8]",0.8454999999999998,1634.4354366,0,10.0
141,7.938335826400001,80.69436794800001,164.0093488493347,1,5,['Mihiri'],"[0, 16, 20]",0.67262,1335.0734177999998,1,10.0
142,7.952377857666668,80.70588837583331,276.38929295244066,1,12,['Mihiri'],"[0, 8, 12]",0.8813999999999999,1989.0013465833333,1,10.0
143,8.013782619769232,80.46441181153847,295.1128743588712,1,13,['Chandi'],"[20, 12, 4]",0.7745153846153846,709.2623721076924,0,10.0
144,8.044733870444444,80.40229403777776,356.5899375192069,1,9,['Chandi'],"[4, 12, 20]",0.7757000000000001,930.0557466666667,1,10.0
145,7.918820015285713,80.13886968142857,278.5208731535564,1,7,['Kumari'],"[4, 12]",0.5329,1778.7396964285713,1,10.0
146,7.9713725060647045,80.23510042705881,1408.4001463989287,1,170,['Kumari'],"[12, 20, 4]",0.8077435294117646,1046.4190629659413,1,10.0
147,7.950940620083334,80.20041100000002,560.1032506025026,2,12,"['Wira', 'Kumari']","[12, 4, 20]",0.8566916666666667,1243.0970798333335,1,10.0
148,8.068224674142856,80.19873053714285,363.8116341996941,1,7,['Kumari'],"[20, 4, 12]",0.8211571428571428,363.1651737642857,0,30.0
149,8.058470952999999,80.20708914333333,338.6058953191823,1,6,['Kumari'],"[20, 12, 4]",0.76585,1036.5035777,1,10.0
150,8.086323387999999,80.90280545,241.5505319034735,1,6,['Nancy'],"[16, 0, 20]",0.7301000000000001,506.2864094666666,0,10.0
151,8.151851738666668,80.90627306444445,321.7372878524636,1,9,['Nancy'],"[12, 20, 16]",0.5935000000000001,4485.340728666666,0,30.0
152,8.160917105857143,80.91376093714287,485.9981786189247,1,14,['Nancy'],"[16, 12, 20]",0.37955714285714287,3638.2782623571425,0,30.0
153,8.156080445125,80.8542250825,297.3465130833047,1,8,['Nancy'],"[20, 4, 16]",0.833175,2155.310052375,0,10.0
154,8.174567899125002,80.84723032,423.39201181319345,1,8,['Nancy'],"[0, 12, 4]",0.8965625,3004.4410665,1,10.0
155,8.0601894755,80.8752326325,289.82758116462514,2,4,"['Samudra', 'Nancy']","[12, 20, 0]",0.87695,1146.6029881,1,10.0
156,8.164995572,80.89311738399999,153.38461527893674,1,5,['Nancy'],"[4, 8]",0.90452,5895.4695542,0,10.0
157,8.109978906999999,80.910899995,521.3331341378268,1,10,['Nancy'],"[20, 0, 12]",0.29239,2689.7141466000003,0,30.0
158,8.042892044666667,80.85845976333333,265.42300261700376,2,6,"['Samudra', 'Nancy']",[4],0.8859333333333334,3803.584267,1,10.0
