corridor_id,from_node,to_node,distance_meters,usage_count,crossing_count,active_hours,bidirectional,safety_score,avg_human_distance
88-90,88,90,5794.036096957532,1,1,[20],True,31.71271850494632,589.0898131182901
97-98,97,98,8098.1277571146975,1,1,[4],True,48.615681745931305,826.9602182414134
98-99,98,99,1786.6591555356868,1,2,"[0, 8]",True,63.53718937364762,817.1486717059524
94-98,94,98,12009.522866143237,1,1,[16],True,49.83660689873669,979.5758623420859
100-102,100,102,1855.9384612550748,1,2,[12],True,33.57743683866909,822.1796048336364
101-102,101,102,1393.0765910800021,1,6,"[20, 16, 0, 12, 8]",True,32.68341844437576,710.4273055469697
94-103,94,103,3350.7216548142833,1,1,[16],True,32.69693948128058,712.117435160073
103-104,103,104,1116.1089590603576,1,1,[16],True,31.455462545098182,556.9328181372728
92-104,92,104,2464.470240511362,1,1,[20],True,32.65686672761381,707.1083409517266
105-111,105,111,7555.7726880626105,1,3,"[12, 8]",True,69.39605487593352,3424.5068594916893
109-111,109,111,6269.503792896514,1,1,[20],True,64.164829386,2770.6036732499997
105-109,105,109,5053.016906471968,1,10,"[20, 0, 16, 12]",True,81.81794704193351,3102.2433802416895
105-106,105,106,4339.579324362832,1,8,"[4, 0, 20, 12, 8]",True,94.07985706993352,4634.98213374169
105-107,105,107,4455.279676183095,1,11,"[4, 12, 20, 0, 8]",True,94.46012599060018,4682.5157488250225
105-108,105,108,4816.730182699329,1,8,"[20, 12, 0, 4, 8]",True,81.02438678793351,3003.0483484916895
109-110,109,110,9829.483131573446,1,1,[20],True,74.14732990440001,2143.41623805
105-115,105,115,8210.93241370129,1,3,"[12, 20, 0]",True,83.81723797713352,3352.1547471416898
105-112,105,112,5320.951024832719,1,4,"[0, 12, 20]",True,80.34170796753352,2917.7134959416894
105-113,105,113,3460.42896263914,1,6,"[8, 20, 0, 16]",True,83.41873871553352,3302.3423394416895
109-114,109,114,1168.0819674468255,1,4,"[0, 16, 8]",True,73.67779165085715,2084.723956357143
105-114,105,114,4742.608324945984,1,3,"[0, 12, 16]",True,78.90901714079067,2738.6271425988325
106-107,106,107,1224.5792240750282,1,1,[16],True,97.0,5561.351316083334
106-109,106,109,5625.323020764917,1,1,[4],True,88.84863158,3981.0789475
109-113,109,113,2239.899659431929,1,1,[0],True,78.1875132256,2648.4391532
113-114,113,114,1415.869336490945,1,1,[12],True,75.27858332445714,2284.822915557143
116-119,116,119,8671.952217024858,1,3,"[4, 20]",True,82.0,7442.541788823968
116-117,116,117,6370.349112196398,1,10,"[12, 20]",True,59.23714488819175,4029.6431110239682
116-118,116,118,5230.88760649739,1,46,"[12, 20, 4]",True,63.19627287515471,4524.534109394339
116-121,116,121,5471.896720404549,1,3,"[20, 12, 4]",True,67.0,6059.281775440635
116-120,116,120,4016.1451210093037,1,1,[12],True,67.0,6436.336326273968
120-121,120,121,1979.1484852031188,1,1,[12],True,67.0,7214.185035666667
122-124,122,124,2914.9502025037664,1,14,"[12, 20, 4]",True,69.69890340922763,1587.3629261534543
122-123,122,123,3303.6827601794394,1,7,"[12, 20, 4]",True,71.72750010642764,1840.9375133034544
124-125,124,125,3844.54467585652,1,1,[12],True,80.3677483052762,2920.968538159524
125-126,125,126,3108.7903808621086,1,2,"[20, 12]",True,83.004548476,3250.5685595000004
123-126,123,126,1116.7363615633105,1,3,[20],True,70.02034970819048,1627.5437135238096
122-127,122,127,3540.4319844837228,1,22,"[20, 12, 4]",True,85.59266478042764,3574.0830975534545
122-128,122,128,7421.936860646772,1,16,"[20, 12, 4]",True,84.85959822184431,3482.449777730538
122-129,122,129,6765.137129721706,1,13,"[12, 20, 4]",True,87.04829285635867,3756.0366070448335
128-129,128,129,1939.564453186412,1,32,"[12, 20]",True,97.0,5108.1296375017955
126-129,126,129,8674.419677648802,1,1,[20],True,85.34114245812151,3542.642807265189
122-126,122,126,3647.250869543458,1,8,"[12, 20, 4]",True,72.33570357995144,1916.9629474939306
122-131,122,131,4132.035012718532,1,15,"[20, 12, 4]",True,87.0491342245943,3756.1417780742877
127-129,127,129,3655.924365056622,1,2,[12],True,97.0,5199.762957324712
122-125,122,125,6755.083525557387,1,3,"[12, 20, 4]",True,84.71169887423716,3463.962359279645
129-131,129,131,2822.592068543769,1,1,[12],True,97.0,5381.821637845545
130-132,130,132,20439.199862713896,1,2,"[8, 12]",True,91.63372998142857,4329.216247678572
133-134,133,134,1830.1771223125645,1,2,"[0, 8]",True,63.83651962869445,2729.5649535868056
33-135,33,135,6184.810420769697,1,4,"[8, 16, 0]",True,71.41291623901603,1801.6145298770039
33-136,33,136,9842.346737170887,1,1,[20],True,53.6319611188327,1453.995139854087
136-137,136,137,2398.5387940926107,1,2,"[0, 12]",True,35.91785856963,1114.73232120375
137-138,137,138,2253.8274219776513,1,2,"[8, 16]",True,36.39230153582545,1174.0376919781818
33-138,33,138,8041.196100709193,1,2,"[16, 20]",True,54.10640408502815,1513.3005106285189
36-137,36,137,11786.98762418122,1,1,[16],True,54.70032900705714,1587.5411258821428
137-139,137,139,1709.5186086525243,1,2,"[0, 8]",True,38.02619086112,1378.2738576400002
137-140,137,140,6158.839200924448,1,1,[12],True,39.70916053488,1588.64506686
33-140,33,140,15638.98714694273,1,2,"[16, 20]",True,57.4232630840827,1927.907885510337
36-136,36,136,9837.645054951254,1,1,[20],True,51.27534999972714,1159.4187499658929
140-141,140,141,12198.928065035436,1,1,[4],True,53.8780354176,1484.7544272
141-142,141,142,2011.8693018216168,1,1,[0],True,70.29629905753333,1662.0373821916664
133-142,133,142,4561.667008184913,1,1,[8],True,76.18598509058333,2398.2481363229167
33-143,33,143,37916.944879191644,1,1,[4],True,53.72257082611347,1465.3213532641832
143-144,143,144,7656.572430868832,1,1,[20],True,48.557272475097434,819.6590593871795
94-144,94,144,7001.769931636266,1,1,[4],True,50.11281744388907,1014.1021804861335
94-101,94,101,2962.471592526287,1,2,"[12, 20]",True,33.23877813188907,779.8472664861335
88-143,88,143,20213.408582021286,1,1,[20],True,32.27179876882509,658.9748461031363
105-143,105,143,79063.87821645383,1,1,[20],True,59.861635754364286,2232.7044692955355
33-110,33,110,44503.44008245484,1,1,[12],True,73.2394904660827,2029.936308260337
33-88,33,88,57341.2258151894,1,1,[20],True,53.32027061807702,1415.033827259627
92-143,92,143,18498.048287526264,1,1,[12],True,32.34279869500458,667.8498368755728
94-143,94,143,12081.707353240006,1,1,[12],True,34.22964394565317,903.7054932066465
88-91,88,91,4935.044460297968,1,1,[12],True,32.66527597875432,708.1594973442901
88-95,88,95,2524.3364616155222,1,1,[20],True,31.539473156594322,567.4341445742901
53-86,53,86,6821.2496508665945,1,2,"[4, 12]",True,31.73504891560959,591.8811144511986
86-145,86,145,4784.075614123152,1,2,"[12, 4]",True,50.98045786861428,1122.5572335767856
84-145,84,145,1162.1223287979344,1,3,"[4, 12, 20]",True,51.940062951274285,1242.5078689092857
83-84,83,84,3346.1434871385236,1,2,[12],True,51.98199928741714,1247.7499109271425
83-146,83,146,7634.487569141073,1,4,"[20, 12]",True,68.34257137372092,1417.8214217151133
146-147,146,147,4444.6472500262225,1,3,"[12, 20]",True,66.1580645711971,1144.7580713996374
145-148,145,148,17872.929507673227,1,1,[12],True,50.56761948077143,1070.9524350964284
148-149,148,149,1422.3684903649532,1,3,"[20, 12]",True,47.598675005857146,699.8343757321429
147-149,147,149,11979.417717323542,1,1,[20],True,66.11840263013333,1139.8003287666668
83-147,83,147,3192.9151269523136,1,3,"[12, 20]",True,69.12928344119047,1516.1604301488094
83-86,83,86,9259.282623344481,1,1,[12],True,51.02239420475714,1127.7992755946427
85-147,85,147,1001.4664645522546,1,3,"[12, 20]",True,49.85884717883333,982.3558973541667
83-85,83,85,3558.3884221896346,1,1,[20],True,52.04335398135714,1255.4192476696426
53-145,53,145,11165.329907310545,1,1,[4],True,51.984508618423874,1248.0635773029844
54-83,54,83,17819.17337106046,1,1,[20],True,52.04268277467445,1255.3353468343057
84-146,84,146,10939.850420605497,1,1,[20],True,49.01078041742377,876.3475521779707
85-146,85,146,4384.1602510298435,1,2,[12],True,49.072135111363764,884.0168889204706
146-149,146,149,10164.163527522409,1,2,"[12, 4]",True,65.33169056266377,1041.4613203329707
54-147,54,147,20910.29357487698,1,1,[20],True,49.85817597215064,982.2719965188298
65-83,65,83,13144.849529368073,1,2,[20],True,51.754701054668956,1219.33763183362
145-147,145,147,7661.073327024961,1,1,[12],True,69.08734710504763,1510.9183881309523
150-151,150,151,7296.411849137656,1,1,[4],True,46.96650855253333,2495.8135690666663
151-152,151,152,1302.075699579339,1,6,"[12, 20]",True,59.49447596409523,4061.809495511904
152-153,152,153,6575.117071546549,1,1,[8],True,50.17435325892857,2896.794157366071
33-153,33,153,9168.528936692937,1,5,"[4, 20, 12, 16]",True,59.50676154718269,2188.3451933978367
33-154,33,154,10381.421707573705,1,3,"[20, 16]",True,77.90328560368269,2612.910700460337
153-154,153,154,2195.1514387941124,1,1,[12],True,62.6390044755,2579.8755594374998
41-158,41,158,3362.210860803534,1,1,[16],True,88.45693635052632,3932.117043815789
39-158,39,158,5349.569068051912,1,1,[4],True,77.59264167545001,2574.0802094312503
39-43,39,43,4461.0031495439625,1,1,[20],True,72.92482840687858,1990.6035508598216
32-43,32,43,2728.028548915952,1,2,"[0, 4]",True,70.65304087537143,1706.6301094214286
43-155,43,155,1633.659388834524,1,1,[20],True,72.13293575182857,1891.6169689785713
31-32,31,32,4922.024674992,1,1,[0],True,78.04889829448831,2631.112286811039
34-41,34,41,6384.090790602134,1,1,[0],True,90.31422160407803,4164.277700509754
33-156,33,156,12999.27347557541,1,1,[20],True,74.4673995544827,4058.424944310337
151-156,151,156,2057.397179116381,1,2,"[4, 0]",True,67.0,5190.4051414333335
152-156,152,156,2317.0165042291196,1,2,[8],True,65.13499126622858,4766.873908278571
151-157,151,157,4683.820514722601,1,1,[20],True,55.70021950106667,3587.527437633333
156-157,156,157,6423.101393432298,1,1,[8],True,61.3407348032,4292.5918504
33-152,33,152,14638.095915829164,1,1,[12],True,65.43863438711126,2929.8292983889082
34-155,34,155,4045.256315996979,1,2,"[20, 12]",True,78.65803427395173,2707.2542842439652
33-43,33,43,9615.680745653744,1,1,[20],True,76.43204513711126,2429.005642138908
33-41,33,41,11141.193868353215,1,1,[12],True,82.12812062020902,3141.0150775261263
31-33,31,33,9630.869737661624,1,1,[8],True,83.82790255622815,3353.487819528519
151-153,151,153,5748.227250106049,1,1,[20],True,53.562603124166664,3320.325390520833
